userName,score,at,content,translated_content,sentiment
Rahma Lusiana,3,2024-06-29 02:29:45,"- Durasi rekam suara dipanjangin kalo bisa, biar bisa posting cover song satu lagu penuh. - Terus pas rekam suara nih kalo misal dibiarin sampe selesai tanpa pencet itu malah rekamannya jadi hilang sendiri, jadinya tidak tersimpan. - Tombol save threads dideketin barengan sama tombol like dan posting ulang biar gampang.","- The duration of the voice recording is extended if possible, so that you can post a full cover song. - Then when you record the sound, if you leave it until it's finished without pressing, the recording will disappear by itself, so it won't be saved. - The save threads button is near the like and repost buttons for ease.",positive
EBH Gomone,5,2024-07-15 18:20:13,Selalu tetap terhubung tersinkron dalam family grup laman saya ini secara mudah lebih cepat lebih rahasia dan lebih aman berkelanjutan dengan hasil tujuan semakin sangat memuaskan.,"Always stay connected, synchronized in my family group page, easily, faster, more confidentially and more securely, continuously with increasingly satisfying results.",positive
Dwi Andriani,5,2024-07-06 08:24:14,Alhamdulillah senang bisa gabung di trend dan pertama pakai trend bingung sendiri cara liat postingan. Alhamdulillah sekarang udh paham dan semoga aplikasi trend bisa jadi inspirasi untuk pengguna lain 🤲🙏,"Alhamdulillah, I'm happy to be able to join the trend and for the first time using the trend, I'm confused about how to see the posts. Thank God, now I understand and hopefully the trending application can be an inspiration for other users 🤲🙏",positive
Alex Penyiar Oficial,5,2024-07-09 09:57:29,"Setiap Manusia yang memiliki Jiwa Seni ia memiliki ide Kreatif yang Cukup Banyak. Namun saat jiwa dan pikiran nya terganggu oleh sebuah peristiwa, maka ia akan terfokus dalam mendeteksi peristiwa tersebut, dan kreativitas yang awal di lakukan nya akan terhenti. namun yang pasti ia akan menemukan ide baru dalam menghadapi Peristiwa tersebut. tapi bagaimana bisa ia menemukan kreativitas ide nya sementara ia dalam masalah?? mmmmm.. karena ia menganggap di balik peristiwa itu ada Hikmahnya","Every human being who has an artistic soul has quite a lot of creative ideas. However, when his soul and mind are disturbed by an event, he will focus on detecting the event, and the creativity he initially carried out will stop. but what is certain is that he will find new ideas in dealing with this incident. but how can he find creativity in his ideas while he is in trouble?? mmmmm... because he thinks there is a lesson behind this incident",positive
Agustinur M.H Saputri,5,2024-06-18 23:20:49,Hallo admin meta. Sejauh ini aplikasi threads sudah bagus. Tapi kenapa kalau mau posting ke instagram story tidak muncul background tulisan threadsnya yah? Tolong ditampilkan kembali karena menurut saya itu sangat bagus sekali karena menambah kesan yang bagus di instagram story. Terimakasih 🙏🏻🙏🏻🙏🏻,Hello meta admin. So far the threads application has been good. But why doesn't the background of the threads appear when you want to post to an Instagram story? Please show it again because I think it is very good because it adds a good impression to the Instagram story. Thank you 🙏🏻🙏🏻🙏🏻,positive
Muhamad Rizki,4,2024-04-28 08:35:29,Apknya udah cukup bagus cuman pas nonton video harus pencet volume dulu kalo mau ada suaranya jadi ribet kalo bisa di bikin pas mencet video baru ada suara itu lebih baik mana tombol volume nya kecil lagi,The apk is quite good but when watching a video you have to press the volume first to get sound so it's complicated if you can do it when you press the video then there's sound it's better where the volume button is smaller,positive
Bang Per Ferry (Ferry Mulydi),5,2024-06-25 05:40:09,"Aplikasi sangat bagus, sayangnya masih sering ada bug, sering ada masalah jika mau komen, sering dikenai batasan ... Selebihnya oke ... Gara gara thread kita bisa curhat, ngoceh , dan bersosialisasi dengan warga thread sendiri","The application is very good, unfortunately there are still often bugs, there are often problems if you want to comment, there are often restrictions... The rest is okay... Because of threads we can vent, chat and socialize with the members of the thread itself",negative
Medyan Aditya Mahsar,4,2024-05-14 04:10:08,"Sejauh ini suka dan udah bagus main ini. Cuma kok terjemahannya hilang ya? Sekarang harus klik titik 3 dulu trus klik terjemahan. Kalo dlu tinggal ikon terjemahan, simple. Tolong dong balikin lagi ikon terjemahan nya biar 1x klik aja.","So far I like it and it's been good playing this game. But how come the translation is lost? Now you have to click on point 3 first then click translation. In the past, just the translation icon, simple. Please return the translation icon again so you can just click it once.",positive
Danny Chandra Kurniawan,1,2024-04-25 12:29:08,"Aplikasi yang bikin emosi orang, capek2 yang nulis unggahan gagal melulu, bales komen nulis pendek panjang pun hasilnya sering gangguan dan akhirnya ndak muncul.. Aplikasi ini sangat mengecewakan, bagi saya kurang mendukung bagi pengguna","An application that makes people emotional, tired of writing, uploads always fail, replying to long and short comments often results in interruptions and in the end it doesn't appear... This application is very disappointing, for me it doesn't support users",negative
CHUNTER TECH,2,2024-05-24 09:55:34,"Untuk performanya bagus, tapi guna apa kalau isinya banyak akun fake semua yg foto"" tebar pesona hanya untuk menarik perhatian agar di follow akun nya melaikan instagram pun juga sama. Sampai kapan sosmed pelampiasan penipu di perbaiki dengan benar???","The performance is good, but what's the use if the content is a lot of fake accounts, all of which are taking photos ""spreading charm just to attract attention so that the account can be followed, even Instagram is the same. How long will social media outlets for fraudsters be corrected properly???",negative
