text,positive_sentences,positive_score
threads sudah bagus tapi masih ada bug seperti suka force close atau keluar sendiri dari threads nya mungkin di update lanjut dapat di benah moga saja cepat benah soal ini aplikasi keren sangat,threads sudah bagus tapi masih ada bug seperti suka force close atau keluar sendiri dari threads nya mungkin di update lanjut dapat di benah moga saja cepat benah soal ini aplikasi keren sangat,6
beri sedikit mudah dan agar dapat selalu lancar gampang di hafal simpel exskitif dari dalam aplikasi untuk lebih baik dan terus baik untuk semua guna,beri sedikit mudah dan agar dapat selalu lancar gampang di hafal simpel exskitif dari dalam aplikasi untuk lebih baik dan terus baik untuk semua guna,5
selalu tetap hubung sinkron dalam family grup laman saya ini cara mudah lebih cepat lebih rahasia dan lebih aman lanjut dengan hasil tuju makin sangat muas,selalu tetap hubung sinkron dalam family grup laman saya ini cara mudah lebih cepat lebih rahasia dan lebih aman lanjut dengan hasil tuju makin sangat muas,5
aplikasi sangat bagus dan saya suka sangat tetapi alangkah baik kalau daftar tidak guna instagram karena hp saya asa berat guna aplikasi sekaligus apalagi hp saya hp kentang,aplikasi sangat bagus dan saya suka sangat tetapi alangkah baik kalau daftar tidak guna instagram karena hp saya asa berat guna aplikasi sekaligus apalagi hp saya hp kentang,4
bagus sangat aplikasi simple tapi mungkin lanjut baik bugnya dan banyak fitur fitur yang mudah guna,bagus sangat aplikasi simple tapi mungkin lanjut baik bugnya dan banyak fitur fitur yang mudah guna,4
turut aku aplikasi ini sudah sangat bagus tampil kamu i nya tarik dan unik sementara di aplikasi ini harus punya tambah fitur lagi yaitu tingkat aman stories edit tweet lihat bagi media saja dan lihat bagi apa yang dia suka di tweet ini aku kasih rate untuk aplikasi ini walaupun aplikasi masih tahap rilis baru ini,turut aku aplikasi ini sudah sangat bagus tampil kamu i nya tarik dan unik sementara di aplikasi ini harus punya tambah fitur lagi yaitu tingkat aman stories edit tweet lihat bagi media saja dan lihat bagi apa yang dia suka di tweet ini aku kasih rate untuk aplikasi ini walaupun aplikasi masih tahap rilis baru ini,4
bagus saja rapi sangat tapi fitur fitur nya emang masih kurang saja tapi moga saja depan makin baik,bagus saja rapi sangat tapi fitur fitur nya emang masih kurang saja tapi moga saja depan makin baik,4
baik terimakasih atas informasi sangat manfaat sekali untuk terus maju dan kembang jalan dengan lancar semua urus baik dalam proses ajar yang baik dan bijaksana dalam ambil putus saya ahmad sahmani terimakasih,baik terimakasih atas informasi sangat manfaat sekali untuk terus maju dan kembang jalan dengan lancar semua urus baik dalam proses ajar yang baik dan bijaksana dalam ambil putus saya ahmad sahmani terimakasih,4
aplikasi yang sangat keren fiturnya lebih lengkap banding aplikasi tetangga belah bismillah iphone dan macbook profesional,aplikasi yang sangat keren fiturnya lebih lengkap banding aplikasi tetangga belah bismillah iphone dan macbook profesional,4
sudah bagus vibesnya dan ui nya lebih baik dari twitter turut fiturnya masih kurang lengkap misal fitur save atau tags masih belum ada agak susah pula kalau pindah akun dan akun yang sudah buat tidak dapat hapus kalau untuk upload foto atau video saya belum coba tetapi dari amat saya foto yang diupload di threads lebih tajam dan tidak kena kompresi seperti di instagram jadi turut saya untuk urus upload foto threads ini sudah sangat bagus,sudah bagus vibesnya dan ui nya lebih baik dari twitter turut fiturnya masih kurang lengkap misal fitur save atau tags masih belum ada agak susah pula kalau pindah akun dan akun yang sudah buat tidak dapat hapus kalau untuk upload foto atau video saya belum coba tetapi dari amat saya foto yang diupload di threads lebih tajam dan tidak kena kompresi seperti di instagram jadi turut saya untuk urus upload foto threads ini sudah sangat bagus,4
aplikasi ini bagus sangat sempurna tetapi masih ada bug bug yang sering jadi menganggu nyaman kami bagai user,aplikasi ini bagus sangat sempurna tetapi masih ada bug bug yang sering jadi menganggu nyaman kami bagai user,4
pastingan postingannya tolong rapi karena terlalu spam yang tidak difollow lebih baik tidak perlu muncul di menu home saya tidak ingin lihat postingan yang tidak ingin saya lihat tolong segera baik karena sangat ganggu jika seperti ini terus maka dapat pasti media sosial ini tidak akan tahan lama,pastingan postingannya tolong rapi karena terlalu spam yang tidak difollow lebih baik tidak perlu muncul di menu home saya tidak ingin lihat postingan yang tidak ingin saya lihat tolong segera baik karena sangat ganggu jika seperti ini terus maka dapat pasti media sosial ini tidak akan tahan lama,4
sumpah ini apk bagus sangat cuma tampil saja kurang oke turut aku tombol like koment dan share nya sangat dekat jadi kadang salah pencet tidak ada fitur dm tidak ada fitur untuk lihat siapa yang belum follow back kita tidak ada fitur search timeline moga update depan bakal timbang untuk tambah,sumpah ini apk bagus sangat cuma tampil saja kurang oke turut aku tombol like koment dan share nya sangat dekat jadi kadang salah pencet tidak ada fitur dm tidak ada fitur untuk lihat siapa yang belum follow back kita tidak ada fitur search timeline moga update depan bakal timbang untuk tambah,4
bintang untuk devolevernya agar semangat ngembangin apk ini belum dapat nilai bagus atau tidak nya untuk apk ini karena masih bilang baru rillis masih banyak yang harus baik utama dari segi bugnya dan untuk para guna tolong jngan banyak keluh wajar banyak masalah di apk ini karena baru saja rillis saya yakin depan apk ini pasti jadi trend,bintang untuk devolevernya agar semangat ngembangin apk ini belum dapat nilai bagus atau tidak nya untuk apk ini karena masih bilang baru rillis masih banyak yang harus baik utama dari segi bugnya dan untuk para guna tolong jngan banyak keluh wajar banyak masalah di apk ini karena baru saja rillis saya yakin depan apk ini pasti jadi trend,3
aplikasi treads sangat bagus dan mudah paham simple dan makin kaya alam dalam sosial media,aplikasi treads sangat bagus dan mudah paham simple dan makin kaya alam dalam sosial media,3
jauh ini masih aman iya dan aku suka sangat sama threads soal lebih ke arah akrab saja sama user di dalam masalah bug belum nemu thanx threads,jauh ini masih aman iya dan aku suka sangat sama threads soal lebih ke arah akrab saja sama user di dalam masalah bug belum nemu thanx threads,3
kalau turut threads bukan hanya social media tapi juga social diary terimakasih karena threads telah hadir dan jadi wadah baik untuk saya yang suka tulis suksess selalu threads,kalau turut threads bukan hanya social media tapi juga social diary terimakasih karena threads telah hadir dan jadi wadah baik untuk saya yang suka tulis suksess selalu threads,3
fitur apk nya sangat bagus dan tarik cocok buat bikin kata motivasi inspirasi deh mantap jiwa,fitur apk nya sangat bagus dan tarik cocok buat bikin kata motivasi inspirasi deh mantap jiwa,3
woy kenapa saya tidak dapat komen dithreads orang lain dan kenapa tiap saya like share utas baik foto video tetap tidak dapat kirim solusiny bagaimana ini apa perlu saya hapus lagi ini aplikasiny kesel sangat anjing rugi saya install aplikasi ini parah sangat tidak guna aku kira aplikasi wow nyata naudzubillah saya download padahal saya pakai hpny baru loh memory card pun masih kosong baru ke install app ig sama app ini tapi hasilny telah install app threads tidak sesuai ekspetasi,woy kenapa saya tidak dapat komen dithreads orang lain dan kenapa tiap saya like share utas baik foto video tetap tidak dapat kirim solusiny bagaimana ini apa perlu saya hapus lagi ini aplikasiny kesel sangat anjing rugi saya install aplikasi ini parah sangat tidak guna aku kira aplikasi wow nyata naudzubillah saya download padahal saya pakai hpny baru loh memory card pun masih kosong baru ke install app ig sama app ini tapi hasilny telah install app threads tidak sesuai ekspetasi,3
aplikasi bagus sayang saya sedikit ada masalah ketika meng upload foto selalu crash mohon baik,aplikasi bagus sayang saya sedikit ada masalah ketika meng upload foto selalu crash mohon baik,3
tolong akun yang saya taut pada threads saya tidak dapat buka instagram dan selalu keluar terus terus saya kecewa padahal lihat bagus,tolong akun yang saya taut pada threads saya tidak dapat buka instagram dan selalu keluar terus terus saya kecewa padahal lihat bagus,3
main ini sangat keren seperti anda lihat zuck sedang tarung dengan elon musk alangkah baik kalian pilih aplikasi ini untuk dukung zuck,main ini sangat keren seperti anda lihat zuck sedang tarung dengan elon musk alangkah baik kalian pilih aplikasi ini untuk dukung zuck,3
untuk jadi aplikasi yang besar seperti harus ada banyak update dan tambah fitur baru dan banyak lagi saya yakin akan saing twitter saya ingin aplikasi ini lebih baik dari pada twitter yang ribet itu,untuk jadi aplikasi yang besar seperti harus ada banyak update dan tambah fitur baru dan banyak lagi saya yakin akan saing twitter saya ingin aplikasi ini lebih baik dari pada twitter yang ribet itu,3
