Word,Frequency
gopay,20564
sangat,19871
tidak,19739
dan,17241
saya,16725
aplikasi,15863
bagus,15824
mantap,15517
di,14937
mudah,13821
bantu,11353
bisa,11115
ini,9545
nya,9155
yang,9028
transaksi,7845
ada,7331
sudah,7279
ok,7015
banget,6834
pakai,6443
transfer,6430
ke,6307
untuk,6237
bayar,6149
baik,6119
cepat,5862
guna,5840
good,4854
buat,4807
tapi,4736
saja,4697
saldo,4559
lebih,4448
jadi,4391
kasih,4316
lagi,4240
mau,3965
sekali,3785
juga,3771
kalau,3720
belum,3616
apk,3605
masuk,3333
top,3248
banyak,3205
moga,3180
terus,3117
apa,3048
dengan,3038
uang,3027
aman,2949
baru,2924
keren,2915
bank,2907
pinjam,2767
ribet,2752
gratis,2731
oke,2691
terima,2649
semua,2580
dari,2527
selalu,2517
iya,2451
dalam,2426
padahal,2417
sama,2223
bintang,2193
kenapa,2155
dulu,2136
coba,2131
suka,2128
tolong,2127
lain,2102
karena,2086
mana,2086
aku,1990
lama,1973
makin,1904
deh,1835
hari,1811
akun,1789
up,1786
fitur,1780
pulsa,1778
proses,1764
biaya,1755
bahkan,1746
beli,1743
lancar,1729
tf,1704
masih,1693
manfaat,1676
gojek,1673
sekarang,1651
admin,1637
dapat,1618
dana,1584
gampang,1535
praktis,1531
terimakasih,1482
jelas,1456
lah,1435
layan,1408
sampai,1407
pokok,1401
harus,1391
lambat,1334
kirim,1329
puas,1296
itu,1267
hilang,1243
tarik,1239
tanpa,1233
bagaimana,1233
kali,1232
sukses,1214
sih,1197
cuma,1190
go,1166
susah,1156
betul,1153
isi,1142
atau,1136
kok,1130
pernah,1116
jangan,1099
app,1091
saat,1089
tolak,1079
simple,1074
blokir,1064
simpel,1057
data,1045
gagal,1036
kecewa,1033
promo,1029
e,1028
tagih,1016
tambah,1011
masalah,1008
seperti,1007
tingkat,1000
pay,996
cukup,993
tiap,991
muas,984
best,984
cara,974
langsung,967
pas,967
laku,954
perlu,939
daftar,937
kita,935
sering,923
limit,914
tiba,909
benar,897
bulan,890
bikin,885
potong,884
driver,879
the,871
butuh,870
kembali,864
upgrade,861
nyaman,837
kan,834
lumayan,834
nice,826
gopaylater,815
lengkap,815
biasa,808
mohon,785
murah,780
segala,776
pun,770
plus,769
download,764
kurang,758
kata,731
sendiri,727
orang,723
dong,722
lapor,716
telah,716
memang,710
